,Alabama,English,Class,Principal Parts,Derivation,Notes
365,hakchoopalpa ochòosi,cocoon,,,[/hakchoopalpa /ochòosi],
366,hakchopalpa,Var. of hakchoopàalpa,,,,
367,hakchopàtha,hound dog,,,[/hakcho /patha],
368,hakchoshokfa istilhaala,hearing aid,,,[/hakcho ist- /hokfa ist-il- /haalo-a],
369,hakíhpo,Negative form of hahpa,,,,
370,hakkònni,"to limp, be lame",CHA-; -LI,"hakkònchi, hakkònhili, hakkònhachi",[poss. /hakkòn-li],
371,hakkònnitíkko,CHA-,,,,
372,hakso,to fade,,,,
373,haksochi,"to cause to fade (as sun, bleach, etc.), bleach",-LI/3,"haksochitiska, haksochitilka, haksochitaska",[/hakso-chi1],
374,haktambi,"armpit, underarm",AM-p,,,
375,haktambi hissi,underarm hair,,,[/haktambi /hissi],
376,haktampi,Var. of haktambi,,,,
377,hakti,"to not be in one's right mind, be insentient, be unaware, be incompetent, not know any better (as a baby or a drunk)",CHA-,,,
378,haktichi,"to be confused, disoriented; to be like a small child (just a baby)",CHA-,,[/hakti-chi1],
379,haktichitíkko,Negative form of haktichi,,,,
380,haktichitilka,"trickery, deception, deceit",,,[/hakti-chi1],
381,haktihmochi,Var. of haktiimochi,,,,
382,haktíichi,"to fool, trick, deceive, pull a joke on; to sneak up on, sneak around, lurk",-LI/CHA-,"haktíichiska, haktíichilka, haktíichaska",,
383,haktiimochi,to talk or walk in one's sleep,Other Verb,,,
384,haktiimochitilka,"sleepwalking, talking in one's sleep",,,[/haktiimochi-tilka],
385,halaawosa,bat (animal),,,,
386,halaawosi,Var. of halaawosa,,,,
387,halahka,"to pull (plural objects or repeatedly), draw (a wagon)",-LI/CHA-,"halahiska, halahilka, halahaska",[/hala<h>t-ka1],
388,halahlichi,to hitch up (a team) (to a wagon or sled),-LI/3/3,"halahchichi, halahhilichi, halahhachichi",[/hala<h>t-li-chi1],
389,halappa,Var. of halokpa,,,,
390,halappachi,Var. of halokpachi,,,,
391,halatíkko,Negative form of halatka,,,,
392,halatka,"to grab, hold, catch, pull (one object)",-LI/CHA-,"halatiska, halatilka, halataska",[/halat-ka1],
393,halatlichi,"to hook up, hitch up (a horse) to (a wagon or sled)",-LI/3/3,"halatchichi, halathilichi, halathachichi",[/halat-li-chi1],
394,halàyko,Negative form of halayli,,,,
395,halayli,"to touch, tag",-LI/CHA-,"halaychi, halayhili, halayhachi",[/halay-li],
396,halki,wife,CHA-,,,
397,halkíkso,"unmarried man, bachelor",,,[/halki ik- /(i)sa-o2],
398,hállatka,to keep on holding (one object); to inherit,-LI/CHA-,"hállatiska, hállatilka, hállataska",,
399,halokpa,to be sharp pointed,,,,
400,halokpachi,"to sharpen, hone, file an edge",-LI/3,"halokpachitiska, halokpachitilka, halokpachitaska",[/halokpa-chi1],
401,haloppa,Var. of halokpa,,,,
402,halosba,"to be slick, slippery",,,,
403,haɬapíkko,Negative form of haɬapka,,,,
404,haɬapilka,"kicking out, stepping out",,,[/haɬap<il>-ka1],
405,haɬapilkatíkko,Negative form of haɬapilka,,,,
406,haɬapka,to kick once; to beat in a ball game,-LI/CHA-,"haɬapiska, haɬapilka, haɬapaska",[/haɬap-ka1],
407,haɬaplichi,to make (someone) kick (by holding the foot and moving it as when teaching a child to kick a ball),-LI/CHA-,"haɬapchichi, haɬaphilichi, haɬaphachichi",[/haɬap-li-chi1],
408,haɬbi,"to be decayed, rotten, desiccated, dried up (e.g. of nut meat)",Other Verb,,,
409,haɬíkko,Negative form of haɬka,,,,
410,haɬilka,"any pedal (bicycle, brake, etc.); football; footprint, track; kicking",,,[/haɬ(ap)<il>-ka1],
411,haɬka,to kick more than once,-LI/CHA-,"haɬiska, haɬilka, haɬaska",[/haɬ(ap)-ka1],
412,háɬko,Negative form of haaɬi,,,,
413,háɬɬapka,"footprint, step, track",,,,
414,háɬɬapko,Var. of háɬɬapka,,,,
415,hamamahka,"to hum, buzz (of bees or flies)",-LI; CHA-,"hamamahiska, hamamahilka, hamamahaska",[/hamamah-ka1],
416,hamamahkachi,to hum; to hum or buzz (of bees or flies),-LI,"hamamahkachitiska, hamamahkachitilka, hamamahkachitaska",[/hamamah-ka1],
417,hamoffi,"to come loose, undone; to have a dislocation; to slip loose (of one)",CHA-,,[/hamof-li],
418,hamoffichi,"to miss in an action (e.g. misstep, miss a target); to unlatch",-LI/CHA-,"hamofchichi, hamofhilichi, hamofhachichi",[/hamof-li-chi1],
419,hamohka,"worrystone, something one rubs all the time",,,[/hamoh-ka1],
420,hamohli,"to rub, stroke, feel",-LI/CHA-,"hamohchi, hamohhili, hamohhachi",[/hamoh-li],
421,hamohlíichòosi,to miss repeatedly (as when shooting or stabbing),-LI/CHA-,"hamohlíichòostiska, hamohlíichòostilka, hamohlíichòostaska",[/hamo<h>f-li-chi1],
422,hamooli,Var. of hamohli,,,,
423,hanaabiya,"lizard, chameleon, anole",,,,
424,hanaabiya choba,Big Lizard,,,[/hanaabiya /choba],
425,hanaabiya chómbo,"lizard, poss. broad-headed lizard or five-lined lizard",,,[/hanaabiya ichoo- /homma /choba (?)],
426,hanaabiya chòmma,Var. of hanaabiya chómbo,,,,
427,hanaabiya ichoohómma,Var. of hanaabiya chómbo,,,,
428,hanaabiya illapihchìisa,horned lizard,,,[/hanaabiya im- /lapihchi /ìisa],
429,hanaabiya ɬìnko,salamander,,,[/hanaabiya /ɬinko],
430,hanaabiya ɬìnkosi,Var. of hanaabiya ɬìnko,,,,
431,hanaabiya okchàkko,anole lizard,,,[/hanaabiya /okchakko],
432,hanaabiya pàlki,Northern Prairie lizard,,,[/hanaabiya /palki],
433,hanaabiya pissíila,kind of rough-skinned lizard,,,[/hanaabiya /pissíila],
434,hanaabotoofola,Var. of hanakbotóofola,,,,
435,hanaafololo,"whirlwind, dustdevil, tornado",,,,
436,hanabi chomba,Var. of hanaabiya chómbo,,,,
437,hanakbi,to be pink,CHA-,,,
438,hanakbitíkko,Negative form of hanakbi,,,,
439,hanakbootoklo,rainbow,,,[poss. from /hanakbi /?],
440,hanakbotóofola,rainbow,,,[poss. from /hanakbi /?],
441,hanakbotopli,rainbow,,,[poss. from /hanakbi /?],
442,hanakíkbo,Negative form of hanakbi,,,,
443,hanchokfala,spider,,,,
444,hanchokfala istaayowwi,spider web,,,[/hanchokfala ist- (/aayowwi)],
445,hanchokfala istayyòoli,Var. of hanchokfala istaayowwi,,,,
446,hanchokfala kánko,any venomous spider,,,[/hanchokfala /kano-ki-o2],
447,hanchokfala locha,black widow spider,,,[/hanchokfala /locha],
448,hanchokfalistaayoobi,Var. of hanchokfala istaayowwi,,,,
449,hanchokfola,Var. of hanchokfala,,,,
450,hanchokfola stayawi,Var. of hanchokfala istaayowwi,,,,
451,hanchokfolistaayòwwi,Var. of hanchokfala istaayowwi,,,,
452,hàⁿhka,Var. of hànka,,,,
453,hanifatala,yellow jacket species (lives on the ground),,,,
454,hànka,"monster, scary thing, boogeymen",,,,
455,hánnàako,Negative form of hánnàali,,,,
456,hánnàali,"six, to be six in number",-LI,"hánnàalitiska, hánnàalitilka, hánnàalitaska",[/hánnàa-li],
457,hánnàalichi,"to do six times, make six, score six points, have six children",,,[/hánnàa-li-chi1],
458,hanokbotóofola,Var. of hanakbotóofola,,,,
459,hanokfalaíⁿkko,Negative form of hanokfalanka,,,,
460,hanokfalanka,to put the head back; to turn over face up; to assume a supine position,-LI,"hanokfalamiska, hanokfalaⁿilka, hanokfalaⁿaska",[prob. (/hanok) /falam-ka1],
461,hanokfalánkat balàaka,"to lie with the head back, lie supine (of one)",-LI,,[/hanokfalam-ka1],
462,hanono,"bullfrog, frog",,,,
463,hanti,hundred,,,,
464,hantitíkko,Negative form of hanti,,,,
465,Hantsfilka,"Huntsville, Texas",,,[/hantsfil-ka3],
466,hapaafalala,"crawling vine with purple flowers, prob. morning glory",,,,
467,hapanchokko,"tomato, tomato plant",,,,
468,hapasaachi,to salt down (meat),-LI/3,"hapasaatiska, hapasaatilka, hapasaataska",[/hapi /asa-chi1],
469,hapi,salt,,,,
470,hapifíino,to be too salty,,,[/hapi-fíhna-o3],
471,hapifohlihchi,salt lick for cows or horses,,,[/hapi /foh-li-hchi],
472,hapiichi,"to salt, make salty",-LI/3,"hapiichiska, hapiichilka, hapiichaska",[/hapi-chi1],
473,hapíkko,Negative form of hapko,,,,
474,hapka,"to be putrid, dead for some time and beginning to rot (of animals)",Other Verb,,,
475,hapka,to bathe,Other Verb,,[/hap-ka1],
476,hapkachi,Var. of haplichi,,,,
477,hapkat anooka,"to be extinct, have died out",CHA-,,[/hapka-t /anoo-ka1],
478,hapkatokoko,hapka2,,,,
479,hapko,"to be rotten, decaying, dead (of vegetation)",Other Verb,,,
480,hapkotíkko,Negative form of hapko,,,,
481,haplichi,"to bathe (someone), give a bath to",-LI/CHA-,"hapchichi, haphilichi, haphachichi",[/hap-li-chi1],
482,hasaaha,Var. of hasaaya,,,,
483,hasaalapo,dry grass used for kindling fires,,,,
484,hasaaya,"to sulk, pout, be angry, be mad, hot-tempered; to play possum",CHA-,,,
485,hasaayachi,"to make someone mad at one, to anger, provoke",-LI/CHA-,"hasaayachitiska, hasaayachitilka, hasaayachitaska",[/hasaaya-chi1],
486,hasaayatíkko,Negative form of hasaaya,,,,
487,hasakìiyo,Negative form of hasaaya,,,,
488,hasaliiha,anger,,,[/hasa<li>aha],
489,hasaliiya,Var. of hasaliiha,,,,
490,hasassalíika,east,,,[/hasi /assalii-ka1],
491,hasassalíika maamahli,east wind,,,[/hasi /assalii-ka1],
492,hasi,"sun; day, daylight; month",,,,
493,hasi cháffàaka,month of January,,,[/hasi /cháffàa-ka1],
494,hasi chákkàali,Var. of hasiholtina istachákkàali,,,,
495,hasichóobastanooka,the last day of December,,,[/hasi /achòoba ist- /anoo-ka1],
496,hasifan inchokóoⁿli,to sunbathe,-LI/3,,[/hasi-fa-n im- /chokóoⁿ-li],
497,hasi hachàalímmòona,month of January; the first of the month,,,[/hasi /hachaa-li-mo-ona],
498,hasiháhpa,"new moon, first of the month (also new clock, new calendar)",,,[/hasi /hahpa],
499,hasi hánnàali,Var. of hasiholtina istahánnàali,,,,
500,hasiholtina,calendar,,,[/hasi /ho<l>tina],
501,hasiholtina aɬɬámmòona,month of January,,,[/hasi /ho<l>tina /aɬɬa-mo-ona],
502,hasiholtina chákkàali,Var. of hasiholtina istachákkàali,,,,
503,hasiholtina hachàalímmòona,the first of the year; month of January,,,[/hasi /ho<l>tina /hachaa-li-mo-ona],
504,hasiholtina ispókkòoli,month of October,,,[/hasi /ho<l>tina ist- /pókkòo-li],
505,hasiholtina istachákkàali,month of September,,,[/hasi /ho<l>tina /chákkàa-li],
506,hasiholtina istahánnàali,month of June,,,[/hasi /ho<l>tina ist-a- /hánnàa-li],
507,hasiholtina istanóoka,month of December; the end of the month,,,[/hasi /ho<l>tina ist- /anoo-ka1],
508,hasiholtina istapókkòolawah cháffàaka,month of November,,,[/hasi /ho<l>tina ist-a- /pókkòo-li /awah /cháffàa-ka1],
509,hasiholtina istapókkòolawah tóklo,month of December,,,[/hasi /ho<l>tina ist-a- /pókkòo-li /awah /tóklo],
510,hasiholtina istatáɬɬàapi,month of May,,,[/hasi /ho<l>tina ist-a- /táɬɬàapi],
511,hasiholtina istatókla,month of February,,,[/hasi /ho<l>tina ist-a- /tòklo-a],
512,hasiholtina istatótchìina,month of March,,,[/hasi /ho<l>tina ist-a- /tótchìina],
513,hasiholtina istonóostàaka,month of April,,,[/hasi /ho<l>tina ist-ona- /óstàa-ka1],
514,hasiholtina istontóklo,month of July,,,[/hasi /ho<l>tina ist-ona- /tòklo],
515,hasiholtina istontótchìina,month of August,,,[/hasi /ho<l>tina ist-ona- /tótchìina],
516,hasiholtina ontoklo,Var. of hasiholtina istontóklo,,,,
517,hasiholtina pókkòoli,Var. of hasiholtina ispókkòoli,,,,
518,hasiholtina poolischáffàakan lawahtóklo,Var. of hasiholtina istapókkòolawah tóklo,,,,
519,hasi intalli,halo around the moon or sun caused by high clouds,,,[/hasi /intal-li],
520,hasi istittaɬammi,"to bathe one's face in the moon, wash the face four times in moonlight",Other Verb,,[/hasi ist- /ittaɬammi],
521,hasikanatli,hour,,,[/hasi /kanat-li],
522,hasik tobiilachi,to scorch (of the sun),3/CHA-,,[/hasi-k /tobila-chi1],
523,hasimìnta,next month,,,[/hasi /mìnta],
524,hasi ontóklo,Var. of hasiholtina istontóklo,,,,
525,hasi ontótchìina,Var. of hasiholtina istontótchìina,,,,
526,hasi ootammi,"to sink (of the setting sun), set (of sun), be sunset, go down (of the sun); to be to the west",,,[/hasi oo- /tam-li],
527,hasi ootàmmi,"sunset, sundown; west",,,[/hasi oo- /tam-li],
528,hasi óstàaka,Var. of hasiholtina istonóostàaka,,,,
529,hasi pókkòoli,Var. of hasiholtina ispókkòoli,,,,
530,hasipókkòolinlawah tóklo,Var. of hasiholtina istapókkòolawahtóklo,,,,
531,hasissobayka,clock,,,[/hasi ist- /sobay-ka1],
532,hasissobayka ischókkòoli,alarm clock,,,[/hasi ist- /sobay-ka1],
533,hasistanóoka,Var. of hasiholtina istanóoka,,,,
534,hasi táɬɬàapi,Var. of hasiholtina istáɬɬàapi,,,,
535,hasi tóklo,Var. of hasiholtina istatóklo,,,,
536,hasi tótchìina,Var. of hasiholtina istatótchìina,,,,
537,haskiina,bumblebee,,,,
538,hasmalmo,cottonwood tree,,,,
539,hasna,"you (of more than one), y'all",,,,
540,hasnaakáalo,"you all, yourselves",,,[/hasna-ka2],
541,hasnáɬɬi,to be by yourselves,,,[/hasna-áaɬi],
542,hasno,"to be yours, your (of more than one), y'alls",,,[/hasna-o3],
543,hasnókko,Negative form of hasna,,,,
544,hasokba,sunlight,,,[poss. /hasi-o1],
545,hasokbachi,"to shine (of the sun), be sunlight",,,[/hasokba-chi1],
546,hasokbafan iⁿhachàali,"to warm oneself up in the sun, sunbathe",-LI,,[/hasokba-fa-n im- /hachàa-li],
547,hasokbibi,"to be sun-scorched, killed by the sun",Other Verb,,[/hasokba /(i)bi],
548,hasokmaamálli,to be lightning in the distance,,,[/hasi-o1],
549,hasok maamíslo,to be lightning in the distance,,,[/hasi-o1],
550,hasokmálli,lightning,,,[/hasi-o1],
551,hasokmállitíkko,Negative form of hasokmálli,,,,
552,hasokmayli,Var. of hasokmálli,,,,
553,hasootammi,Var. of hasi ootammi,,,,
554,hasootàmmi maamahli,west wind,,,[/hasi oo- /tam-li maat- /mah-li],
555,háspitalka,hospital,,,[/haspital-ka3],
556,hassi,"grass, bear grass, weeds, hay, straw",,,,
557,hassi chichobimilpa,alfafa,,,[/hassi /chichoba im- il- /(i)pa],
558,hassihalokpa,"grassburrs, burrs, burr grass, sharp grass",,,[/hassi /halokpa],
559,hassihaloopa,Var. of hassihalokpa,,,,
560,hassihasàaya,sensitive plant,,,[/hassi /hasaaya],
561,hassihomi,bitterweed,,,[/hassi /homi],
562,hassihommachi,species of tall grass,,,[/hassi /homma-chi1],
563,hassi ischakka,"scythe, sickle",,,[/hassi ist- /chak(af)-ka1],
564,hassi istitakolofka,lawn mower,,,[/hassi ist-ita- /kolof-ka1],
565,hassikánko,"any poisonous plant, esp. poison ivy, poison oak",,,[/hassi /kano-ki-o2],
566,hassikba,"grass fire, forest fire",,,[/hassi /ikba],
567,hassikchilpa,Var. of assikchìlpa,,,,
568,hassintalaali,"a tall weed with leaves like tomato leaves, ragweed?",,,[/hassi im- /talaa-li],
569,hassipatàaka,"bermuda grass, crabgrass, motor grass",,,[/hassi /patàa-ka1],
570,hassitapatàaka,Var. of hassipatàaka,,,,
571,hassiwànha,"bermuda grass, crabgrass, motor grass",,,[/hassi /wanha],
572,hassiyalokpa,Var. of hassihalokpa,,,,
573,hastahli,"to be light, bright; to be daylight, dawn; to light up, emit light",Other Verb,,,
574,hastáhli,"to be lighter, brighter",,,,
575,hastahlichi,"to make (something) light up, shine (of an artificial light)",3/CHA-,,[/hastah-li-chi1],
576,hastahlifìina,"to be too bright, have too much light",Other Verb,,[/hastah-li-fìina],
577,hastalpo,dry grass for kindling fires and stuffing mattresses,,,,
578,hastola,winter,,,,
579,hataanoffi,"to braid, wear (hair) in braids",-LI/3,"hataanofchi, hataanofhili, hataanofhachi",[/hataanof-li],
580,hataanofka,to be braided (as hair or a bullwhip),,,[/hataanof-ka1],
581,hataanófko,Negative form of hataanoffi,,,,
582,hataffo,grasshopper,,,,
583,hatakfo,Var. of hataffo,,,,
584,hátchàali,to be standing (of one); to be alive; to serve or stand ready to serve (especially in office) (of one); to be threatening or imminent (of weather),-LI,"hátchàachi, hátchàahili, hátchàahachi",,
585,hátchalìichi,to have or own (an upright object) (of one),-LI/3,"hátchachìichi, -, -",[/hachaa-li-chi1],
586,hatíkko,Negative form of hatka,,,,
587,hatka,"to be pale, white, cream-colored, oyster-colored; to be gray-haired",CHA-,,[/hat-ka1],
588,hatkaabi,"to pale, blanch, turn white (of a person); to be pale pink, faded, pale-faced from illness",CHA-,,,
589,hatkáabòosi,"to be hot pink or rose colored, turn pink",,,[/hatkaabi-osi],
590,hatkàasi,bed sheet,,,[/hat-ka1],
591,hatkachi,"whitener, bleach",,,[/hat-ka1],
592,hatkat aɬaplihchi,to be silver colored,CHA-,,[/hat-ka1],
593,hatlichi,"to bleach, whiten",-LI/3,"hatchichi, hathilichi, hathachichi",[/hat-li-chi1],
594,hatokhàapli,large grasshopper,,,,
595,hatokwassi,dragonfly,,,,
596,hawi,to be sexually promiscuous,CHA-,,,
597,hayaali,Var. of hayahli,,,,
598,hayaaɬi,Var. of hayaɬi,,,,
599,hayaaɬichampoli,peanut brittle,,,[/hayo /aɬi /champoli],
600,hayahli,to shake (a person's hand),-LI/CHA-,"hayahchi, hayahhili, hayahhachi",[/hayah-li],
601,hayaɬi,"peanut, peanut butter",,,[/hayo /aɬi],
602,hayaɬkafi,peanut coffee,,,[/hayo /aɬi /kafi],
603,hayihmo,"to be muddy (of earth), boggy, swampy, dirty (of water)",,,,
604,hayiimo,Var. of hayihmo,,,,
605,hayiimo istootalàaka,swamp,,,[/hayiimo ist-oo- /talàa-ka1],
606,hayikìimo,Negative form of hayihmo,,,,
607,hayilaanikofka,"underpants, underwear",,,[/hayo /ilaanikof-ka1],
608,hayintalaali,dewberry,,,[poss. /hayo im- /talaa-li],
609,hayintalali,Var. of hayintalaali,,,,
610,hayiskòolka,high school,,,[/hayiskool-ka3],
611,hayo,inside,,,,
612,hayo aɬi,Var. of hayaɬi,,,,
613,hayóhki,to be deeper,,,,
614,hayohli,"to stop, cease (of rain, sleet or snow)",,,,
615,hayo holikfa,"underwear, petticoat, half-slip",,,[/hayo /ho<li>kfa],
616,hayohombayka,"petticoat, half-slip",,,[/hayo /hombay-ka1],
617,hayoíkko,Negative form of hayooki,,,,
618,hayolbaha,"slip, petticoat",,,[/hayo /olbaha],
619,hayolikfa,Var. of hayo holikfa,,,,
620,hayombahitilka,"slip, petticoat",,,[/hayo /ombahi-tilka],
621,hayontalaali,Var. of hayintalaali,,,,
622,hayooki,to be deep (of liquid),,,[poss. /hayo /oki],
623,hayoolbahi,Var. of hayolbaha,,,,
624,hayooli,Var. of hayohli,,,,
625,hayoolikfa,Var. of hayoholikfa,,,,
626,hayoombayilka,Var. of hayohombayka,,,,
627,hayoombayka,Var. of hayohombayka,,,,
628,hayo sakàmpa,inside corner,,,[/hayo /sakàmpa],
629,hayyaaɬi,Var. of hayo aɬi,,,,
630,hayyikìimo,Var. of hayikìimo,,,,
631,hayyimo,Var. of hayihmo,,,,
632,háyyohki,"to be deepest, deeper (of water)",,,,
633,heⁿheⁿheⁿ,hey! stop!,,,,
634,hey!,what is hollered to someone far away to get their attention,,,,
635,hicha,"to see, find, look at, spot, spy; to look to, look up to",-LI/CHA-,"ishicha, ilhicha, hashicha",,
636,hichaachi,to show to,-LI/CHA-/CHA-,"hichaatiska, hichaatilka, hichaataska",[/hicha-chi1],
637,hichaatíkko,Negative form of hichaachi,,,,
638,hichi,"boil, sore, carbuncle",,,,
639,hichichoba,"large boil, carbuncle",,,[/hichi /choba],
640,hifóosilka,air,,,[/hifos<il>-ka1],
641,hifóoska,to be still breathing; to have a slow leak (of a tire),-LI,"hifóosiska, hifóosilka, hifóosaska",[/hifos-ka1],
642,hifosíkko,Negative form of hifoska,,,,
643,hifosilka,"breath, air",,,[/hifos<il>-ka1],
644,hifoska,"to breathe, rest; to throb, throb with a pulse, have a heartbeat",-LI,"hifosiska, hifosilka, hifosaska",[/hifos-ka1],
645,hifoska atiplichi,"to gasp, breathe intermittently, pant (for breath)",-LI/3,,[/hifos-ka1],
646,hifoskassoba,"to pant, take a deep breath, breathe deeply",-LI,"hifoskassobatiska, hifoskassobatilka, hifoskassobataska",[/hifos-ka1],
647,hifoslichi,"to resuscitate, revive, respirate, make breathe",-LI/CHA-,"hifossichi, hifoshilichi, hifoshachichi",[/hifos-li-chi1],
648,híhha,"oh, no! oh, shoot! darn! oh, heck! oh, my goodness!",,,,
649,híicha,"to see, gaze at",-LI/CHA-,"ishíicha, ilhíicha, hashíicha",,
650,hiiha,Var. of híhha,,,,
651,híiha,Var. of híhha,,,,
652,híisli,to be standing (of more than one),-LI,"-, híishili, híishachi",,
653,hiiyaakáalo,I myself,,,[hi- /ya-ka2],
654,hilkachi,"to feel hot, feverish",CHA-,,,
655,hilkachíkko,Negative form of hilkachi,,,,
656,hilkachitíkko,Negative form of hilkachi,,,,
657,hiɬi,to fast ritually,-LI,"hiɬchi, hiɬhili, hiɬhachi",,
658,hiɬikchi,seed,,,,
659,hiɬɬi,"to warm oneself by a fire, bask",-LI/3,"hiɬchi, hiɬhili, hiɬhachi",[/hiɬ-li],
660,himàaka,"now, nowadays",,,[hi- /ma-ka2],
661,himàaka nìhta,today,,,[hi- /ma-ka2],
662,himáakaníhtaya,right now; today,,,[hi- /ma-ka2],
663,himáakaniɬálli,this morning,,,[hi- /ma-ka2],
664,himáaka pontókkòoliiyon,Var. of himáaka pontóoliiyon,,,,
