,Alabama,English,Class
575,hastahlichi,"to make (something) light up, shine (of an artificial light)",3/CHA-
576,hastahlifìina,"to be too bright, have too much light",Other Verb
577,hastalpo,dry grass for kindling fires and stuffing mattresses,
578,hastola,winter,
579,hataanoffi,"to braid, wear (hair) in braids",-LI/3
580,hataanofka,to be braided (as hair or a bullwhip),
581,hataanófko,Negative form of hataanoffi,
582,hataffo,grasshopper,
583,hatakfo,Var. of hataffo,
584,hátchàali,to be standing (of one); to be alive; to serve or stand ready to serve (especially in office) (of one); to be threatening or imminent (of weather),-LI
585,hátchalìichi,to have or own (an upright object) (of one),-LI/3
586,hatíkko,Negative form of hatka,
587,hatka,"to be pale, white, cream-colored, oyster-colored; to be gray-haired",CHA-
588,hatkaabi,"to pale, blanch, turn white (of a person); to be pale pink, faded, pale-faced from illness",CHA-
589,hatkáabòosi,"to be hot pink or rose colored, turn pink",
590,hatkàasi,bed sheet,
591,hatkachi,"whitener, bleach",
592,hatkat aɬaplihchi,to be silver colored,CHA-
593,hatlichi,"to bleach, whiten",-LI/3
594,hatokhàapli,large grasshopper,
595,hatokwassi,dragonfly,
596,hawi,to be sexually promiscuous,
597,hayaali,Var. of hayahli,
598,hayaaɬi,Var. of hayaɬi,
599,hayaaɬichampoli,peanut brittle,
600,hayahli,to shake (a person's hand),-LI/CHA-
601,hayaɬi,"peanut, peanut butter",
602,hayaɬkafi,peanut coffee,
603,hayihmo,"to be muddy (of earth), boggy, swampy, dirty (of water)",
604,hayiimo,Var. of hayihmo,
605,hayiimo istootalàaka,swamp,
606,hayikìimo,Negative form of hayihmo,
607,hayilaanikofka,"underpants, underwear",
608,hayintalaali,dewberry,
609,hayintalali,Var. of hayintalaali,
610,hayiskòolka,high school,
611,hayo,inside,
612,hayo aɬi,Var. of hayaɬi,
613,hayóhki,to be deeper,
614,hayohli,"to stop, cease (of rain, sleet or snow)",
615,hayo holikfa,"underwear, petticoat, half-slip",
616,hayohombayka,"petticoat, half-slip",
617,hayoíkko,Negative form of hayooki,
618,hayolbaha,"slip, petticoat",
619,hayolikfa,Var. of hayo holikfa,
620,hayombahitilka,"slip, petticoat",
621,hayontalaali,Var. of hayintalaali,
622,hayooki,to be deep (of liquid),
623,hayoolbahi,Var. of hayolbaha,
624,hayooli,Var. of hayohli,
625,hayoolikfa,Var. of hayoholikfa,
626,hayoombayilka,Var. of hayohombayka,
627,hayoombayka,Var. of hayohombayka,
628,hayo sakàmpa,inside corner,
629,hayyaaɬi,Var. of hayo aɬi,
630,hayyikìimo,Var. of hayikìimo,
631,hayyimo,Var. of hayihmo,
632,háyyohki,"to be deepest, deeper (of water)",
633,heⁿheⁿheⁿ,hey! stop!,
634,hey!,what is hollered to someone far away to get their attention,
635,hicha,"to see, find, look at, spot, spy; to look to, look up to",-LI/CHA-
636,hichaachi,to show to,-LI/CHA-/CHA-
637,hichaatíkko,Negative form of hichaachi,
638,hichi,"boil, sore, carbuncle",
639,hichichoba,"large boil, carbuncle",
640,hifóosilka,air,
641,hifóoska,to be still breathing; to have a slow leak (of a tire),-LI
642,hifosíkko,Negative form of hifoska,
643,hifosilka,"breath, air",
644,hifoska,"to breathe, rest; to throb, throb with a pulse, have a heartbeat",-LI
645,hifoska atiplichi,"to gasp, breathe intermittently, pant (for breath)",-LI/3
646,hifoskassoba,"to pant, take a deep breath, breathe deeply",-LI
647,hifoslichi,"to resuscitate, revive, respirate, make breathe",-LI/CHA-
648,híhha,"oh, no! oh, shoot! darn! oh, heck! oh, my goodness!",
649,híicha,"to see, gaze at",-LI/CHA-
650,hiiha,Var. of híhha,
651,híiha,Var. of híhha,
652,híisli,to be standing (of more than one),-LI
653,hiiyaakáalo,I myself,
654,hilkachi,"to feel hot, feverish",CHA-
655,hilkachíkko,Negative form of hilkachi,
656,hilkachitíkko,Negative form of hilkachi,
657,hiɬi,to fast ritually,
658,hiɬikchi,seed,
659,hiɬɬi,"to warm oneself by a fire, bask",-LI/3
660,himàaka,"now, nowadays",
661,himàaka nìhta,today,
662,himáakaníhtaya,right now; today,
663,himáakaniɬálli,this morning,
664,himáaka pontókkòoliiyon,Var. of himáaka pontóoliiyon,
665,himáaka pontókkòolit ɬopotliyyon,this afternoon,
666,himáaka pontókkot táɬɬoffi,this afternoon,
667,himáaka pontóoliiyon,today at twelve noon,
668,himáakatánkàasiiyon,this evening,
669,himàakaya,"well!, why now!",
670,himáakaya,"today, now",
671,himáakayáali,now,
672,himáakayáamifòokon,in the old days,
673,himáakayáamiimon,sometime in the future,
674,himáakayáhmiiyon,nowadays,
675,himaayáami,sometimes,
676,hímmàaka,"later, later on",
677,hímmáakàasiimon,a little later,
678,hímmàakasima,a little later,
679,hímmáhkàastíkkobi,Negative form of himàaka,
680,hímmáhkókko,a long time; not for a while,
681,himóɬɬàasi,"once, one time",
682,hinaalta,"leading, guiding, guidance",
683,hinaata,"to lead the way, lead someone",-LI; -LI/CHA-
684,hinàata,"leader, guide",
685,hinaatatíkko,Negative form of hinaata,
686,hinakahli,to wait,-LI
687,hinakìito,Negative form of hinaata,
688,hinákkàali,to keep on waiting,-LI
689,hinalta,Var. of hinaalta,
690,hini,road,
691,hinichoba,"highway, freeway",
692,hinifatli,road map; road sign,
693,hini ittabanàaka,crossroads,
694,hini ittabanatli,crossroad,
695,hinilocha,"asphalt, blacktop road",
696,hiniɬabaata,Var. of hiniɬibaata,
697,hiniɬibaata,"narrow road, alley",
698,hininota ɬopotka,"tunnel, underpass, overpass",
699,hinipaapatàaka,"blacktop, road tar",
700,hinipaawanha,"paved road, blacktop road",
701,hinipakítho,narrow road,
702,hínnàata,"to be a leader, be a guide",-LI
703,hinosi,"path, trail",
704,hinóstàaka,four times,
705,hipli,"to be freezing precipitation, freezing rain",Other Verb
706,hiplichi,"hairy woodpecker (red-headed woodpecker?) (yellow-bellied sapsucker?), spotted woodpecker",
707,hiplichoba,hail,
708,hiplichosi,Var. of hiplichi,
709,hiplikbila,slush,
710,hisli,to stand up (of more than one),-LI
711,hislichi,"to stand up (several things), set up, put up (for example, posts or a tent); to stand (plural objects) in place (as a post in a hole, furniture in a room); to transplant (plural objects)",-LI/CHA-
712,hislit áayo,for there to be standing room only,
713,hissaakoloffi,barber shop,
714,hissaapokyo,"beauty shop, hair salon",
715,hissaapokyochitilka,"beauty shop, hair salon",
716,hissaatalbòoka,"beauty shop, hair salon",
717,hissalwàaliha,joking word for beauticians,
718,hissi,hair,CHA-
719,hissi haatanofka,hair braid,
720,hissihatka,white or gray hair,
721,hissihobaski,long hair,
722,hissihómma,red hair,
723,hissihopàtha,"collard, collard greens",
724,hissi impokyochi,"to get a permanent, get one's hair curled",-LI/AM-/3
725,hissi ispokyo,hair permanent,
726,hissi kolòffi,barber,CHA-
727,hissilaana,"blond hair, light brown hair",CHA-
728,hissilawa,thick hair,
729,hissilocha,"black hair, brown hair, brunette hair",CHA-
730,hissipaalokòoli,to be crested (of fowl),
731,hissipokyo,curly hair,
732,hissipokyo istilaɬipìika,curly wig,
733,hissipokyòochi,"beauty shop attendant, hairdresser, beautician",
734,hissispaachokòoli,"wig, toupee",
735,hissispokyo,hair permanent,
736,hissistaasihka,hair rinse,
737,hissistaposoilka,"hair oil, hair tonic",
738,hissistilaɬipìilka,"wig, toupee",
739,hissisyaaɬipìilka,"wig, toupee",
740,hissisyaatala,"wig, toupee",
741,hissi talbòoli,hairdresser,CHA-
742,hissi talibòoli,Var. of hissi talbòoli,
743,hissiyopàtha,Var. of hissihopàtha,
744,hissokcháakilpa,lettuce,
745,hissoopàtha,Var. of hissihopàtha,
746,hissoopàthisbomboki,Var. of hissopáthasbomboki,
747,hissopáthasbomboki,cabbage,
748,histík,stop! scat! shoo! get out of here!,
749,histo,ashes,
750,histo istitapafkachi,ash shovel,
751,hitòkla,"twice, two times; to be again, a second time, again and again; next time",
752,hitótchìina,"thrice, three times",
753,hiwa,water moccasin snake,
754,hiwachoba,water moccasin snake,
755,hiwayli,sty on the eye,
756,hmm!,"yuck!, blech!",
757,hmm! kánkobi!,yuck! it's bad!,
758,hmm! kosooma!,hoo! whew! it stinks!,
759,hoba,to be castrated,
760,hobaachi,to castrate,-LI/CHA-
761,hobaatíkko,Negative form of hobaachi,
762,hobakchi,"to be idle, lazy, irresponsible, shiftless; to be incapable of doing anything, to feel under the weather and not up to doing anything",
763,hobalikcha,"idleness, laziness",
764,hobatíkko,Negative form of hoba,
765,hochi,"to pound, pulverize, grind with a pestle",-LI/3
766,hochifa,"to name (someone), call (something) a name",-LI/CHA-
767,hochifatíkko,Negative form of hochifa,
768,hochífko,Negative form of hochifa,
769,hochìifa,namer,
770,hochiiɬchoba,Morning star,
771,hochiiɬi,star,
772,hochiiɬi aatìilli imittalbi,coffin-shaped constellation,
773,hochiiɬi aatilli intaybi,Var. of hochiiɬi aatìilli imittalbi,
774,hochiiɬikatalpo,Pleiades,
775,hochiiɬiⁿlàyki,powder that comes out of a puffball mushroom; puffball mushroom,
776,hochiiɬi okistakafka,Big Dipper constellation,
777,hochiiɬi soofka,"falling stars, meteors",
778,hochiiɬi tammi,"falling star, meteor",
779,hochiiɬi tooɬooka,falling star,
780,hochitíkko,Negative form of hochi,
781,hochitoka,Negative form of hochi,
782,hofakínto,Negative form of hofanti,
783,hofanti,to be born,CHA-
784,hofantichi,"to bear, give birth, have a baby",-LI/CHA-
785,hofantichitíkko,Negative form of hofantichi,
786,hofantitíkko,Negative form of hofanti,
787,hofántitooma iⁿholisso,birth certificate,
788,hofna,to sniff at something,-LI/CHA-
789,hofnachi,to make (someone) smell (something) (as by holding it under their nose),-LI/CHA-
790,hóhma,to be redder,CHA-
791,hóhpa,to be sicker,CHA-
792,hokbi,to string (beads),-LI/3
793,hokbitíkko,Negative form of hokbi,
794,hokcho,to pass gas,-LI; CHA-
795,hokchobàaski,walking stick (insect),
796,hokchokosòoma,"praying mantis, walking stick",
797,hokfa,"to get into, be inside, be in jail (of one); to dress in, wear; to board, ride in (a vehicle) (of one)",-LI/3
798,hokfachiichi,to dress (someone),-LI/CHA-
799,hokfi,to put in (one object); to score a basket in basketball,-LI/CHA-
800,hokìibo,Negative form of hòoba,
801,hokìipo,Negative form of hoopa,
802,hokíiswo,Negative form of hoswa,
803,hokíkbo,Negative form of hokbi,
804,hokíkcho,Negative form of hokcho,
805,hokíkfo,hokfa,
806,hokíkfo,«,
807,hokìlbo,Negative form of holba,
808,hokìmmo,Negative form of homma,
809,hokísso,Negative form of hosso,
810,hokìyyo,Negative form of hoyya,
811,hókkìita,"half, half-way, the middle, mid-way, mid-point",
812,hóknòosi,"wife, older woman, `old lady'",
813,hoknòssòoba,old lady,
814,holaawa,soft-shelled turtle,
815,holba,"picture (of oneself), any image",CHA-
816,holbáachi,"to sound like someone, be like",-LI/CHA-
817,holbàachi,"photographer, artist",
818,holbachi,"to make an image; to imitate, act like",-LI/CHA-
819,holbatíkko,Negative form of holba,
820,holchi,"to be pounded, ground up, beaten",CHA-
821,holchifa,to be named,CHA-
822,holchifafíhnòkkohchi,nickname,
823,holchifastanóoka,"surname, family name",
824,holifna,"smell, odor, scent",
825,holihta,fence,
826,holihta chakchaki,picket fence,
827,holihtachi,"to build a fence, put up a fence",-LI
828,holihtastillokòoli,fence post,
829,holihtastiⁿhachàali,fence post,
830,holihtittabankachi,split rail fence,
831,holihtokhicha,gate,
832,holìiba,to be stolen,CHA-
833,holìibatíkko,Negative form of holìiba,
834,holíisso,to be being written,
835,holikbi,to be strung,CHA-
836,holikcho,"flatulence, gas, fart",
837,holikcho kosòoma,"stink bug, pumpkin bug, dung beetle",
838,holikfa,"a ride, riding (in a vehicle); shirt, clothes",
839,holillo,"sorcery, magic, witchcraft",
840,holissistokahli,firecracker,
841,holisso,"book, paper, newspaper",
842,holisso aabàachi,school teacher,
843,holisso aachikìika,library,
844,holisso chìibi,cardboard,
845,holisso hatka,paper tablet,
846,holisso imiisa,mailbox,
847,holisso imponna,to be educated,3/AM-
848,holisso iⁿsokcha,envelope,
849,holisso maatinnaaɬiika,to send a letter to,-LI/AM-
850,holissomastolihna illapàali,Var. of holissomastolihna inlapàali,
851,holissomastolihna inlapàali,postage stamp,
852,holissomastoliina impaalapàali,postage stamp,
853,holisson aabachi,to teach school,-LI/3
854,holisso naaɬiilka,letter,
855,holisson sobaylichi,to teach school,-LI/3
856,holisso sobayka,"schooling, education, book learning",
857,holisso sobayli,to go to school,
858,holisso sobáyli,to be a graduate,
859,holisso sobàyli,student,
860,holisso sobaylìichi,"schoolteacher, instructor",
861,holissosobayli imalpitta iswaliika,school bus,
862,holissosobayli imalpitta iswaliika waliilìichi,school bus driver,
863,holissosokcha,envelope,
864,holissostàaya,"mail carrier, postman",
865,holissotoknaawa,"paper money, currency, bill",
866,holissotòoka,card game; playing card; gambling,
867,holiswa,urine,
868,holiswalaana aissi,a plant species,
869,holitcha,to be shot,CHA-
870,holitchatíkko,Negative form of holitcha,
871,holitli,to die (?),
872,hóllìsso,"to have writing, be written on, be written in",
873,hollo,"to be evil, wicked, dangerous, taboo; to be holy, sacred, spiritually powerful, magic",CHA-
874,hollochi,"to deny oneself, forbear to do, abstain from doing",-LI/3
875,hóllochi,to observe the custom of abstaining from certain activities for reasons such as a death in the family; to act on a superstition,-LI
876,holpa,"disease, sickness",
877,holpafàyko,"any dreadful, incurable disease (not nec. terminal)",
878,holpalàana,yellow fever,
879,holponi,cooking,
880,holposko,"buttocks, bottom, behind, rump",CHA-
881,holtilihna,to be counted,CHA-
882,holtina,"arithmetic, mathematics",
883,hoɬka,sofkey,
884,hoɬkachi,to make sofkey,-LI
885,hoɬkan afolli,to cook sofkey,-LI/3
886,hoɬɬi,war,
887,hombayka,"any clothes, garments worn from the waist down, esp. skirt",
888,hombayli,to put on clothes (usually a skirt) worn from the waist down,-LI/3
889,hombàyli,"to wear (clothes, usually a skirt, worn from the waist down)",-LI/CHA-
890,homi,"to be bitter, peppery",
891,homiichi,to make something taste bitter,-LI/3
892,homitíkko,Negative form of homi,
893,hòmko,Negative form of homi,
894,homma,to be red,CHA-
895,hommachi,"to dye a shade of red, redden",-LI/3
896,homman hatkaabin ittiⁿhókkìita,"hot pink, fuchsia",
897,hommatík yalàahayáhchi,"to be red-orange, salmon-colored",CHA-
898,hommat onalocha,to be maroon,CHA-
899,hompàani,player,
900,hompanholi,Var: hompaⁿholi,
901,hompaⁿholi,Var. of hompanholi,
902,hompani,to play (games or sports),-LI/3
903,hompaniichi,to lead a game,-LI
904,hompanìichi,"leader (of a game), coach, director",
905,hompanka,games,
906,hompànko,Negative form of hompani,
907,honno,skirt,
908,honno ichoopakofka,skirt hem,
909,hòoba,"to steal, embezzle",-LI/3
910,hoofna,any smell,
911,hóofna,to smell something,-LI/CHA-; CHA-/3
912,hookalasa,Var. of ookalasa,
913,hóolba,"to resemble, look like; to match (of clothes)",-LI/CHA-
914,hoolpalàana,Var. of holpalàana,
915,hooma,pepper,
916,hoomachoba,bell pepper,
917,hoomahomi,hot pepper,
918,hoomalocha,black pepper,
919,hoopa,"to be sick, hurting",CHA-
920,hoopachi,"to make sick, cause an allergic reaction, hurt",-LI/CHA-
921,hoopachitíkko,Negative form of hoopachi,
922,hoopatíkko,Negative form of hoopa,
923,hòosso,"writer, scribbler, one who makes marks",
924,hóosso,to be still in the process of writing something,-LI/3
925,hootaha,middle,
926,hopaaki,"to be far, a long distance",
927,hopaaki maastilhicha,any aid to seeing in the distance,
928,hopaakimastilhicha,Var. of hopaaki maastilhicha,
929,hopàaki pínha,way far off,
930,hopáhki,"a long distance, very far",
931,hopaíkko,Negative form of hopaaki,
932,hopakíhchi,to go farther away,-LI
933,hopakitíkko,Negative form of hopaaki,
934,hopohko,species of green poisonous snake living near water,
935,hoponhíkko,Negative form of hoponka,
936,hoponholi,hopooni,
937,hoponka,"to be cooked (i.e. not raw), done",
938,hopònko,Negative form of hopooni,
939,hopooni,to cook,-LI/3
940,hóppàaki,a bit far,
941,hóppáhki,farther; too far,
942,hoppola,"feces, manure, droppings, excrement",
943,hoppólko,Negative form of hoppola,
944,hóppòoni,"to be cooked, ready and prepared, done (of food)",
945,hosholi,hochi,
946,hoska,"to be pounded, ground up",
947,hósko,Negative form of hochi,
948,hóssìhno,"senior citizens, older people",
949,hosso,to write,-LI/3
950,hossochi,to write; to brand (an animal) by marking the ears,-LI/CHA-
951,hossòochi,"(professional) writer, author",
952,hossotíkko,Negative form of hosso,
953,hoswa,to urinate,-LI; CHA-
954,hotcha,"to shoot (an animal, a basket in basketball)",-LI/CHA-
955,hótchìifa,to give a nickname to,-LI/CHA-
956,hótchìifahchi,nickname,
957,hotihna,to count,-LI/CHA-
958,hotiina,Var. of hotihna,
959,hotiinatoka,Negative form of hotihna,
960,hotikíhno,Negative form of hotihna,
961,how,"yes, okay",
962,hoyapka,"fatigue, tiredness",
963,hoyapli,to be tired,CHA-
964,hoyoopa,"to be mad, crazy, mean (of an animal), vicious",
965,hoyya,"to leak, drip",
966,huy!,hey!,
967,laana,"to be yellow, orange, brown, gold, beige, pink",CHA-
968,laanachi,"to dye yellow, brown, orange, gold, beige",-LI/CHA-
